Configuration,grade1,grade2,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '19', '2', 'scatter']",0.11968,224.93531,4.93531,26.92109,49.25166,8.25684,145.0,75.0,35.97386
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '19', '3', 'scatter']",0.2217,225.06609,6.06609,49.89798,60.67823,8.25685,150.0,69.0,29.19955
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '19', '4', 'scatter']",0.27595,227.60148,8.60148,62.80628,54.374,8.25685,150.0,69.0,32.58505
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '38', '2', 'scatter']",0.20505,248.98688,4.98688,51.05408,93.345,8.25686,172.0,72.0,18.981
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '38', '3', 'scatter']",0.285,259.55363,7.55363,73.97387,89.75388,8.25687,177.0,75.0,19.74053
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '38', '4', 'scatter']",0.32276,258.43596,11.43596,83.41248,73.28026,8.25689,172.0,75.0,24.17838
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '57', '2', 'scatter']",0.24677,281.34781,5.34781,69.428,126.53341,8.25688,198.0,78.0,13.87931
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '57', '3', 'scatter']",0.22939,270.44374,9.44374,62.03822,74.75666,8.2569,183.0,78.0,23.56108
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '57', '4', 'scatter']",0.32153,278.1805,13.1805,89.44292,78.74852,8.25693,186.0,79.0,22.49966
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '19', '2', 'scatter']",0.13389,224.95917,4.95917,30.12024,55.05406,8.25684,145.0,75.0,32.18241
